"","X","Y","TP","TN","NTU","Sample","Flow"
"1245",13572.3854166667,1,0.01,1.2,54.4,"A",31.18
"1246",13572.5104166667,1,0.01,1.1,49.5,"A",24.38
"1247",13572.6354166667,1,0.06,1,44.9,"A",19.93
"1248",13572.7604166667,1,NA,NA,43.3,"A",16.97
"1249",13572.8854166667,1,0.05,1,37.4,"A",16.06
"1250",13573.0104166667,1,0.01,1.1,38,"A",18.4
"1251",13573.1354166667,1,0.11,1,30,"A",20.31
"1252",13573.2604166667,1,0.07,1,38.1,"A",19.23
"1253",13573.3854166667,1,NA,NA,75.1,"A",16.31
"1254",13573.5104166667,1,NA,NA,223,"A",14.97
"1255",13573.6354166667,1,NA,NA,284,"A",13.46
"1257",13576.0208333333,1,NA,1.3,122,"C",7.81
"1258",13592.5833333333,1,0.04,0.7,44.6,"R",6.34
"1259",13620.5833333333,1,0.08,0.5,24.1,"R",5.35
"1260",13648.5833333333,1,0.02,0.6,19.7,"R",5.13
"1261",13674.9583333333,1,0.07,0.8,53.1,"A",16.46
"1262",13675.0833333333,1,0.07,0.7,36.6,"A",27.28
"1263",13675.2083333333,1,0.1,0.8,67.8,"A",29.98
"1264",13675.3333333333,1,0.08,0.8,77.6,"A",30.46
"1265",13675.4583333333,1,0.12,0.9,68.1,"A",28.15
"1266",13675.5833333333,1,0.08,0.8,51.8,"A",25.72
"1267",13675.7083333333,1,0.07,0.8,38.3,"A",23.56
"1268",13675.8333333333,1,0.08,0.8,46.4,"A",21.52
"1269",13675.9583333333,1,0.08,0.8,45.4,"A",19.85
"1270",13676.0833333333,1,0.08,0.8,42,"A",18.34
"1271",13676.2083333333,1,0.09,0.8,48.2,"A",16.63
"1272",13676.3333333333,1,NA,NA,42.8,"A",14.96
"1273",13677.21875,1,0.02,0.9,36.9,"R",9.93
"1274",13677.9375,1,NA,1,85.1,"C",8.64
"1275",13679.2395833333,1,0.04,0.6,25.1,"A",12.09
"1276",13679.3645833333,1,NA,NA,62,"A",24.24
"1277",13679.4895833333,1,0.06,0.7,52,"A",53.16
"1278",13679.6145833333,1,0.1,0.9,112,"A",103.3
"1279",13679.7395833333,1,NA,NA,224,"A",159.21
"1280",13679.8645833333,1,0.22,1.5,448,"A",198.8
"1281",13679.9895833333,1,0.25,1.4,427,"A",214.15
"1282",13680.1145833333,1,0.23,1.4,352,"A",255.02
"1283",13680.2395833333,1,0.22,2.2,319,"A",334.85
"1284",13680.3645833333,1,0.25,1.5,389,"A",401.4
